age,genre,revenu_mensuel,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,% augementation_salaire_precedente,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,est_marie,departement_Consulting,departement_Ressources Humaines,domaine_etude_Entrepreunariat,domaine_etude_Infra & Cloud,domaine_etude_Marketing,domaine_etude_Ressources Humaines,domaine_etude_Transformation Digitale,poste_level,freq_deplacement_level,ratio_exp_entreprise,revenu_par_age,age_group,satisfaccion_media
41,0,5993,8,8,6,4,2,3,2,4,1,1,3,1,11,1,0,0,1,2,0,5,0,False,False,False,True,False,False,False,5,1,1.1428571428571428,142.6904761904762,3,2.0
49,1,5130,1,10,10,7,3,2,2,2,4,3,4,0,23,0,1,3,8,1,1,7,1,True,False,False,True,False,False,False,2,2,0.9090909090909091,102.6,3,3.0
37,1,2090,6,7,0,0,4,2,1,3,2,3,3,1,15,1,0,3,2,2,0,0,0,True,False,False,False,False,False,False,1,1,7.0,55.0,2,3.0
33,0,2909,1,8,8,7,4,3,1,3,3,3,3,1,11,0,0,3,3,4,3,0,1,True,False,False,True,False,False,False,2,2,0.8888888888888888,85.55882352941177,2,3.25
27,1,3468,9,6,2,2,1,3,1,2,4,3,3,0,12,0,1,3,2,1,2,2,1,True,False,False,False,False,False,True,1,1,2.0,123.85714285714286,1,2.5
32,1,3068,0,8,7,7,4,3,1,4,3,2,3,0,13,0,0,2,2,2,3,6,0,True,False,False,True,False,False,False,1,2,1.0,92.96969696969697,2,3.25
59,0,2670,4,12,1,0,3,4,1,1,1,2,4,1,20,0,3,3,3,3,0,0,1,True,False,False,False,False,False,True,1,1,6.0,44.5,4,1.75
30,1,2693,1,1,1,0,4,3,1,3,2,3,4,0,22,0,1,2,24,1,0,0,0,True,False,False,True,False,False,False,1,1,0.5,86.87096774193549,1,3.0
38,1,9526,0,10,9,7,4,2,3,3,2,3,4,0,21,0,0,2,23,3,1,8,0,True,False,False,True,False,False,False,3,2,1.0,244.25641025641025,2,3.0
36,1,5237,6,17,7,7,3,3,2,3,2,2,3,0,13,0,2,3,27,3,7,7,1,True,False,False,False,False,False,True,4,1,2.125,141.54054054054055,2,2.5
